id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source
B120677A,1977-12-06T17:05:16,-68.11,-31.43,19.0,5.9,mw,0.05,0.06,0.0,,181.0,37.0,82.0,11.0,54.0,96.0,6.121e+17,2.7879999999999997e+17,-8.909000000000001e+17,5.540000000000001e+16,2.254e+17,-1.3700000000000002e+17,gcmt
B120777A,1977-12-07T00:32:41,-67.32,-28.58,143.9,5.5,mw,0.05,0.06,2.0,,148.0,42.0,-82.0,318.0,48.0,-97.0,-1.84e+17,6.38e+16,1.201e+17,2.37e+16,-5400000000000000.0,-1.0169999999999998e+17,gcmt
B121077B,1977-12-10T07:11:57,-68.03,-31.28,34.9,5.5,mw,0.07,0.1,4.4,,199.0,29.0,117.0,348.0,65.0,76.0,1.1259999999999998e+17,7.77e+16,-1.902e+17,-1.97e+16,1.137e+17,-1400000000000000.0,gcmt
B010278A,1978-01-02T08:27:43,-71.61,-37.96,144.0,5.5,mw,0.08,0.08,3.4,,93.0,53.0,-9.0,189.0,83.0,-142.0,-1.84e+16,4.66e+16,-2.8199999999999996e+16,-1.97e+16,1.21e+17,1.454e+17,gcmt
B011778A,1978-01-17T11:33:21,-68.08,-31.53,23.0,6.0,mw,0.05,0.05,0.0,,142.0,66.0,12.0,47.0,79.0,156.0,9.75e+16,8.938e+17,-9.913e+17,4.83e+17,1.0940000000000002e+17,-1.401e+17,gcmt
B012078A,1978-01-20T04:43:03,-70.04,-34.55,109.3,5.6,mw,0.06,0.04,3.0,,183.0,26.0,-98.0,12.0,64.0,-86.0,-2.592e+17,4.56e+16,2.136e+17,-5.36e+16,-1.819e+17,1.94e+16,gcmt
B021778B,1978-02-17T06:43:33,-71.47,-28.59,66.0,5.3,mw,0.1,0.08,8.1,,141.0,23.0,35.0,18.0,77.0,109.0,5.823e+16,-2030000000000000.2,-5.62e+16,5.207e+16,9.218e+16,2.379e+16,gcmt
B062878C,1978-06-28T07:28:03,-69.92,-27.2,119.7,5.1,mw,0.18,0.11,8.0,,134.0,30.0,-139.0,8.0,71.0,-66.0,-3.199e+16,-1.551e+16,4.75e+16,-6840000000000001.0,-4.245e+16,-1.926e+16,gcmt
B082178A,1978-08-21T00:28:30,-68.11,-31.79,25.0,5.3,mw,0.11,0.12,0.0,,218.0,9.0,79.0,49.0,81.0,92.0,5.104e+16,-2.207e+16,-2.8969999999999996e+16,8.357e+16,7.066e+16,2500000000000000.0,gcmt
B122178B,1978-12-21T01:13:57,-72.57,-36.4,50.0,5.8,mw,0.05,0.03,0.0,,101.0,34.0,52.0,324.0,64.0,112.0,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,gcmt
B032079B,1979-03-20T21:41:27,-71.42,-35.79,122.7,5.4,mw,0.07,0.05,2.8,,141.0,24.0,-158.0,32.0,81.0,-68.0,-4.52e+16,-2.8199999999999996e+16,7.35e+16,-8.35e+16,-1.012e+17,-1.7399999999999998e+16,gcmt
B042679A,1979-04-26T02:00:11,-72.07,-33.91,33.7,5.9,mw,0.03,0.03,1.7,,26.0,25.0,124.0,170.0,70.0,76.0,5.149e+17,1.315e+17,-6.464e+17,1.557e+17,-6.172e+17,-8.55e+16,gcmt
B042879E,1979-04-28T11:38:25,-71.17,-27.39,21.1,6.1,mw,0.05,0.04,2.2,,31.0,24.0,68.0,234.0,68.0,99.0,1.307e+18,-6.07e+17,-7e+17,-1.162e+18,-7.19e+17,-8.27e+17,gcmt
B052079D,1979-05-20T19:37:48,-71.11,-27.32,15.0,5.9,mw,0.06,0.05,0.0,,11.0,13.0,117.0,163.0,79.0,84.0,2.6789999999999997e+17,4.94e+16,-3.173e+17,2.082e+17,-6.646e+17,2.8599999999999996e+16,gcmt
B062779A,1979-06-27T21:46:30,-68.56,-29.58,141.2,5.6,mw,0.05,0.03,1.8,,284.0,32.0,-43.0,52.0,69.0,-115.0,-1.935e+17,2.0830000000000003e+17,-1.48e+16,-1.087e+17,-1.797e+17,2.8499999999999996e+16,gcmt
B070679A,1979-07-06T02:01:17,-71.63,-32.38,49.0,5.7,mw,0.03,0.03,0.0,,166.0,39.0,70.0,11.0,54.0,105.0,4.9160000000000006e+17,-2000000000000000.0,-4.896e+17,1.19e+17,1.409e+17,1.65e+16,gcmt
B080279A,1979-08-02T07:40:29,-71.48,-28.01,19.0,5.5,mw,0.05,0.04,0.0,,15.0,28.0,113.0,169.0,65.0,79.0,1.488e+17,5.27e+16,-2.015e+17,3.28e+16,-1.353e+17,899999999999999.9,gcmt
B083079A,1979-08-30T18:59:53,-67.06,-31.4,27.0,5.5,mw,0.09,0.09,0.0,,354.0,31.0,35.0,233.0,73.0,116.0,1.052e+17,1.62e+16,-1.214e+17,-1.4039999999999998e+17,-6.47e+16,-6.52e+16,gcmt
B101179B,1979-10-11T08:56:02,-71.55,-33.41,44.0,5.4,mw,0.07,0.08,4.7,,13.0,24.0,96.0,187.0,66.0,87.0,9.57e+16,1.85e+16,-1.1419999999999998e+17,-1e+16,-9.56e+16,-2.26e+16,gcmt
B122679A,1979-12-26T19:43:42,-71.5,-35.9,110.8,5.6,mw,0.04,0.04,2.5,,199.0,6.0,-66.0,355.0,85.0,-92.0,-2.66e+16,-4.67e+16,7.33e+16,2.32e+16,-2.625e+17,-100000000000000.0,gcmt
B011480E,1980-01-14T21:51:08,-69.42,-33.27,15.0,5.6,mw,0.07,0.06,0.0,,141.0,69.0,5.0,49.0,85.0,159.0,-1.31e+16,2.734e+17,-2.6030000000000003e+17,1.078e+17,3.83e+16,-4.49e+16,gcmt
B012880C,1980-01-28T16:59:24,-76.29,-45.17,15.0,5.4,mw,0.07,0.07,0.0,,195.0,27.0,-56.0,338.0,68.0,-106.0,-1.209e+17,-1.82e+16,1.391e+17,6.37e+16,-1.073e+17,-1.12e+16,gcmt
B021480A,1980-02-14T14:07:00,-71.56,-32.02,46.9,5.1,mw,0.1,0.18,8.5,,226.0,41.0,142.0,346.0,66.0,55.0,2.821e+16,2.153e+16,-4.974e+16,-4430000000000000.0,2.2599999999999996e+16,-1.689e+16,gcmt
B032380A,1980-03-23T23:33:15,-72.08,-30.17,43.4,5.4,mw,0.07,0.1,4.2,,1.0,37.0,75.0,200.0,55.0,101.0,1.248e+17,1.34e+16,-1.383e+17,-2.7300000000000004e+16,-3.89e+16,-3.19e+16,gcmt
B032980B,1980-03-29T06:41:53,-75.86,-43.38,15.0,6.1,mw,0.11,0.09,0.0,,185.0,14.0,-119.0,34.0,78.0,-83.0,-5.33e+17,-1.14e+17,6.47e+17,-8.21e+17,-1.21e+18,4.29e+17,gcmt
B032980D,1980-03-29T17:49:11,-73.91,-38.05,32.4,5.4,mw,0.06,0.05,3.9,,13.0,20.0,106.0,176.0,71.0,85.0,1.172e+17,-6000000000000000.0,-1.111e+17,1.61e+16,-1.472e+17,-9900000000000000.0,gcmt
B040980B,1980-04-09T08:17:59,-67.42,-31.49,15.0,5.3,mw,0.09,0.07,0.0,,340.0,37.0,136.0,108.0,65.0,61.0,9.042e+16,-4.144e+16,-4.898e+16,8.311e+16,1.369e+16,5.894e+16,gcmt
B061180C,1980-06-11T14:21:25,-71.93,-33.03,20.0,5.8,mw,0.03,0.03,0.0,,1.0,26.0,87.0,184.0,64.0,91.0,5.183e+17,8.24e+16,-6.008e+17,-3.3700000000000004e+16,-4.4560000000000006e+17,-2.7500000000000004e+16,gcmt
B071380A,1980-07-13T06:20:37,-70.49,-33.47,113.4,5.7,mw,0.04,0.03,2.2,,102.0,14.0,178.0,195.0,89.0,76.0,6.870000000000001e+16,-1.682e+17,9.95e+16,-4.32e+16,-3.728e+17,-3.1e+16,gcmt
C071980A,1980-07-19T11:52:29,-69.89,-29.0,129.3,5.9,mw,0.04,0.03,1.5,,306.0,26.0,-77.0,112.0,65.0,-96.0,-8.087e+17,5.889e+17,2.198e+17,-6.221e+17,1.875e+17,-3.052e+17,gcmt
B080380A,1980-08-03T03:00:53,-69.82,-35.46,163.9,5.3,mw,0.14,0.07,2.6,,2.0,20.0,93.0,179.0,70.0,89.0,7.259e+16,-1.58e+16,-5.678e+16,2270000000000000.0,-7.682e+16,-1120000000000000.0,gcmt
B082980A,1980-08-29T10:38:17,-73.37,-39.75,44.6,5.4,mw,0.09,0.08,5.9,,171.0,29.0,140.0,298.0,72.0,67.0,8.34e+16,-1.58e+16,-6.760000000000001e+16,-1.054e+17,2.24e+16,4.74e+16,gcmt
B111080A,1980-11-10T16:24:43,-67.55,-31.52,15.0,5.6,mw,0.05,0.04,0.0,,133.0,31.0,49.0,358.0,67.0,111.0,2.5299999999999997e+17,-4.24e+16,-2.106e+17,6.35e+16,2.415e+17,1.167e+17,gcmt
B122580B,1980-12-25T06:32:51,-67.19,-31.0,138.1,5.1,mw,0.14,0.13,4.8,,173.0,40.0,-106.0,14.0,52.0,-77.0,-4.567e+16,-6899999999999999.0,5.257e+16,-8350000000000000.0,-9030000000000000.0,3730000000000000.0,gcmt
B031681A,1981-03-16T13:40:52,-71.67,-35.67,60.1,5.4,mw,0.09,0.06,5.0,,252.0,46.0,-39.0,11.0,63.0,-129.0,-8.331e+16,2.665e+16,5.667e+16,1.611e+16,-6.269e+16,9.187e+16,gcmt
B032381A,1981-03-23T19:28:15,-71.81,-33.96,16.6,6.4,mw,0.06,0.04,2.5,,335.0,5.0,73.0,173.0,85.0,91.0,1.0269999999999999e+18,-5.4000000000000006e+17,-4.87e+17,5.85e+17,-4.676e+18,1.14e+17,gcmt
B040681A,1981-04-06T14:34:09,-70.81,-35.36,112.8,5.2,mw,0.09,0.08,5.5,,95.0,33.0,163.0,200.0,81.0,58.0,2.323e+16,-2.948e+16,6250000000000000.0,-2.116e+16,-6.902999999999999e+16,-4.644999999999999e+16,gcmt
B051781C,1981-05-17T17:05:00,-72.14,-27.39,15.0,5.3,mw,0.09,0.1,0.0,,191.0,37.0,-79.0,358.0,54.0,-98.0,-9.022e+16,-4970000000000000.0,9.519e+16,8250000000000000.0,-3.02e+16,8250000000000000.0,gcmt
B060481A,1981-06-04T07:39:39,-78.12,-34.76,26.0,5.1,mw,0.18,0.16,0.0,,207.0,42.0,-41.0,330.0,64.0,-124.0,-4.225e+16,-1.602e+16,5.826e+16,3.194e+16,-1.917e+16,-1580000000000000.0,gcmt
B072881B,1981-07-28T03:03:27,-73.45,-41.97,46.7,5.6,mw,0.09,0.04,4.7,,44.0,59.0,17.0,305.0,75.0,148.0,6.37e+16,-2.863e+17,2.226e+17,-7.46e+16,1.733e+17,-5.500000000000001e+16,gcmt
B091981B,1981-09-19T11:40:54,-74.94,-39.45,15.0,5.5,mw,0.1,0.06,0.0,,206.0,38.0,-53.0,342.0,61.0,-116.0,-2.0659999999999997e+17,-2700000000000000.0,2.093e+17,1.097e+17,-9.29e+16,2.47e+16,gcmt
C101681A,1981-10-16T03:25:47,-73.15,-33.48,40.4,7.1,mw,0.02,0.02,0.8,,194.0,34.0,96.0,6.0,56.0,86.0,4.936e+19,-5.75e+18,-4.361e+19,-3e+17,1.967e+19,-7.27e+18,gcmt
C110781A,1981-11-07T03:29:58,-71.39,-32.41,65.6,6.9,mw,0.02,0.02,2.5,,208.0,5.0,-47.0,345.0,86.0,-94.0,-6.7e+17,-7.67e+18,8.34e+18,7.82e+18,-3.122e+19,-2.17e+18,gcmt
B121581A,1981-12-15T12:32:02,-71.16,-36.13,104.6,5.0,mw,0.26,0.12,11.8,,157.0,10.0,-61.0,308.0,81.0,-95.0,-1.102e+16,4370000000000000.0,6650000000000000.0,3.461e+16,-2.7e+16,-1.2609999999999998e+16,gcmt
C060182A,1982-06-01T04:14:16,-75.87,-41.69,10.0,6.4,mw,0.03,0.03,0.0,,160.0,33.0,-130.0,25.0,65.0,-67.0,-3.372e+18,-8.6e+17,4.232e+18,-1.871e+18,-2.339e+18,3.07e+17,gcmt
B060582A,1982-06-05T00:17:01,-76.07,-43.44,23.0,5.3,mw,0.13,0.09,0.0,,191.0,29.0,-87.0,8.0,61.0,-91.0,-7.497e+16,-1.0069999999999998e+16,8.504e+16,-6780000000000000.0,-5.132e+16,1.658e+16,gcmt
B090682C,1982-09-06T11:13:27,-71.39,-32.08,78.5,5.3,mw,0.15,0.07,10.2,,68.0,21.0,-166.0,326.0,85.0,-69.0,-1.786e+16,3.959e+16,-2.173e+16,4.539e+16,-7.859e+16,-1.4990000000000002e+16,gcmt
B102682A,1982-10-26T03:24:34,-71.33,-29.7,56.1,5.7,mw,0.04,0.03,4.5,,100.0,15.0,-154.0,345.0,84.0,-77.0,-1.367e+17,1.149e+17,2.18e+16,9.69e+16,-4.904e+17,-1.0960000000000002e+17,gcmt
B111882C,1982-11-18T20:39:54,-65.74,-31.21,166.2,6.0,mw,0.06,0.04,1.8,,129.0,24.0,-114.0,335.0,68.0,-80.0,-8.794e+17,3.461e+17,5.333e+17,2.8690000000000003e+17,-8.276999999999999e+17,-4.33e+17,gcmt
B022883B,1983-02-28T22:44:20,-79.16,-44.78,15.0,6.0,mw,0.04,0.02,0.0,,260.0,90.0,180.0,350.0,90.0,0.0,-1.98e+17,4.7e+17,-2.7200000000000003e+17,0.0,0.0,-1.056e+18,gcmt
B040283A,1983-04-02T05:58:40,-66.13,-29.02,40.1,5.3,mw,0.14,0.1,7.9,,247.0,25.0,137.0,17.0,73.0,71.0,5.178e+16,-1.879e+16,-3.299e+16,1.658e+16,7.784e+16,-4.41e+16,gcmt
B050783A,1983-05-07T01:07:26,-71.61,-28.37,33.8,5.1,mw,0.14,0.16,7.3,,16.0,29.0,101.0,183.0,62.0,84.0,4.284e+16,-220000000000000.0,-4.261e+16,930000000000000.0,-2.81e+16,-7390000000000000.0,gcmt
B050983A,1983-05-09T10:58:23,-74.45,-41.92,33.0,6.1,mw,0.05,0.03,0.0,,358.0,41.0,-118.0,213.0,54.0,-68.0,-1.293e+18,-2.7800000000000003e+17,1.571e+18,4.14e+17,2.52e+17,5.7499999999999994e+17,gcmt
B080183A,1983-08-01T14:09:24,-76.46,-48.33,11.0,5.7,mw,0.08,0.06,0.0,,355.0,14.0,107.0,157.0,76.0,86.0,1.858e+17,1.26e+16,-1.984e+17,1.552e+17,-3.524e+17,6.3e+16,gcmt
B091483A,1983-09-14T00:47:01,-73.65,-36.4,10.1,5.4,mw,0.11,0.11,0.0,,23.0,16.0,131.0,161.0,78.0,79.0,6.26e+16,1.04e+16,-7.3e+16,5.07e+16,-1.2809999999999998e+17,-3400000000000000.0,gcmt
B102183A,1983-10-21T08:14:23,-68.61,-30.69,131.6,5.4,mw,0.08,0.05,2.5,,323.0,30.0,-143.0,200.0,73.0,-65.0,-9.44e+16,-1.96e+16,1.141e+17,7.46e+16,1.1020000000000002e+17,-2.8199999999999996e+16,gcmt
B112683D,1983-11-26T23:29:09,-79.94,-45.11,15.0,5.8,mw,0.08,0.05,0.0,,257.0,90.0,180.0,347.0,90.0,0.0,-5.610000000000001e+16,2.746e+17,-2.1840000000000003e+17,0.0,0.0,-5.172e+17,gcmt
B112883A,1983-11-28T19:10:08,-77.97,-44.6,10.0,5.5,mw,0.17,0.13,0.0,,133.0,18.0,-142.0,7.0,79.0,-76.0,-8.79e+16,-1.5e+16,1.03e+17,-3.71e+16,-2.178e+17,-4.81e+16,gcmt
B121083B,1983-12-10T17:37:57,-78.32,-44.73,15.0,5.6,mw,0.06,0.03,0.0,,258.0,90.0,180.0,348.0,90.0,0.0,-2.43e+16,1.2529999999999998e+17,-1.01e+17,0.0,0.0,-2.634e+17,gcmt
B121583A,1983-12-15T04:22:36,-70.56,-33.09,103.6,6.0,mw,0.06,0.03,2.6,,202.0,21.0,-78.0,9.0,69.0,-95.0,-8.194000000000001e+17,2.03e+16,7.991e+17,-1.062e+17,-9.358e+17,2.21e+17,gcmt
B122383B,1983-12-23T22:56:10,-71.67,-27.23,33.0,5.2,mw,0.12,0.08,0.0,,306.0,61.0,-25.0,49.0,68.0,-148.0,-2.426e+16,7.772e+16,-5.346e+16,-4440000000000000.0,-5.372e+16,5390000000000000.0,gcmt
B020384B,1984-02-03T08:29:53,-71.64,-29.74,48.4,5.6,mw,0.04,0.05,2.5,,182.0,45.0,83.0,12.0,45.0,97.0,2.532e+17,2.55e+16,-2.787e+17,2.02e+16,-1500000000000000.0,-3.77e+16,gcmt
B041984B,1984-04-19T08:28:59,-72.06,-31.74,31.0,5.7,mw,0.05,0.04,0.0,,19.0,16.0,120.0,168.0,76.0,82.0,2.0830000000000003e+17,100000000000000.0,-2.084e+17,9.62e+16,-3.809e+17,-1.97e+16,gcmt
B050784A,1984-05-07T14:09:14,-66.27,-28.04,147.3,5.1,mw,0.13,0.16,4.3,,185.0,51.0,-37.0,300.0,62.0,-135.0,-3.677e+16,-5890000000000000.0,4.266e+16,3.0019999999999996e+16,4940000000000000.0,-3.542e+16,gcmt
B050984A,1984-05-09T23:56:10,-70.19,-34.34,107.9,5.3,mw,0.12,0.06,4.2,,205.0,31.0,-95.0,31.0,60.0,-87.0,-7.983e+16,1.1279999999999998e+16,6.855000000000001e+16,-2.63e+16,-4.021e+16,4.455e+16,gcmt
B051684A,1984-05-16T03:45:06,-66.71,-27.07,156.4,5.5,mw,0.06,0.06,3.3,,174.0,68.0,-6.0,267.0,84.0,-158.0,-5.39e+16,6.63e+16,-1.24e+16,7.98e+16,1500000000000000.0,-2.146e+17,gcmt
B052584B,1984-05-25T13:20:25,-75.86,-43.14,10.0,5.4,mw,0.08,0.06,0.0,,185.0,27.0,-98.0,14.0,63.0,-86.0,-1.1339999999999998e+17,-7700000000000000.0,1.211e+17,-2.55e+16,-8.43e+16,2.37e+16,gcmt
B060384A,1984-06-03T01:44:15,-76.55,-45.29,10.0,5.4,mw,0.07,0.06,0.0,,320.0,61.0,-161.0,221.0,73.0,-30.0,-7.79e+16,-1.174e+17,1.953e+17,4.16e+16,3.69e+16,8000000000000000.0,gcmt
B061184A,1984-06-11T02:05:42,-71.9,-31.25,44.5,6.2,mw,0.02,0.02,1.6,,357.0,36.0,94.0,171.0,54.0,87.0,2.198e+18,2.98e+17,-2.497e+18,1.72e+17,-7.43e+17,3.1e+17,gcmt
B081884B,1984-08-18T04:10:46,-66.83,-27.71,182.3,5.5,mw,0.11,0.12,3.8,,160.0,38.0,-60.0,303.0,58.0,-111.0,-1.598e+17,5.739999999999999e+16,1.024e+17,8.27e+16,-1.4399999999999998e+16,-1.069e+17,gcmt
B110884B,1984-11-08T06:33:01,-71.87,-30.89,42.3,5.5,mw,0.04,0.04,2.5,,359.0,40.0,87.0,182.0,50.0,92.0,2.247e+17,3.13e+16,-2.56e+17,-6600000000000000.0,-4.46e+16,-2900000000000000.0,gcmt
B110884E,1984-11-08T14:17:48,-68.5,-31.54,143.6,5.3,mw,0.13,0.11,4.6,,178.0,45.0,-115.0,32.0,50.0,-67.0,-9.666e+16,2940000000000000.0,9.372e+16,-3.35e+16,570000000000000.0,2.574e+16,gcmt
B112984B,1984-11-29T19:12:35,-71.28,-35.42,102.1,5.4,mw,0.06,0.05,3.6,,151.0,19.0,-154.0,37.0,82.0,-73.0,-3.752e+16,-2.316e+16,6.068e+16,-7.942e+16,-9.489e+16,2400000000000000.0,gcmt
B011885A,1985-01-18T15:00:15,-71.26,-29.79,74.5,6.3,mw,0.02,0.02,1.4,,322.0,67.0,13.0,227.0,78.0,156.0,5.3900000000000006e+17,2.904e+18,-3.443e+18,-1.459e+18,-4.09e+17,-4.98e+17,gcmt
B012685A,1985-01-26T03:07:05,-68.75,-33.11,28.4,5.9,mw,0.03,0.03,1.7,,158.0,38.0,65.0,9.0,56.0,108.0,8.699999999999999e+17,1.161e+17,-9.861000000000001e+17,2.094e+17,3.349e+17,1.172e+17,gcmt
B022185B,1985-02-21T18:53:14,-72.1,-33.37,32.9,5.7,mw,0.04,0.03,2.1,,29.0,31.0,127.0,167.0,66.0,70.0,2.69e+17,8.7e+16,-3.56e+17,8.86e+16,-2.473e+17,-4.98e+16,gcmt
M030385A,1985-03-03T22:47:39,-71.71,-33.92,40.7,7.9,mw,0.02,0.02,1.0,,11.0,26.0,110.0,169.0,66.0,81.0,7.48e+20,4.89e+19,-7.969e+20,1.912e+20,-6.55e+20,2.9e+18,gcmt
B030485A,1985-03-04T00:32:52,-71.79,-33.06,33.0,7.3,mw,0.23,0.17,0.0,,234.0,32.0,155.0,346.0,77.0,60.0,5.84e+19,-5.5e+18,-5.289e+19,-7.36e+19,9.282e+19,-5.169e+19,gcmt
B030485B,1985-03-04T06:07:12,-72.08,-33.43,10.0,6.3,mw,0.25,0.18,0.0,,215.0,24.0,143.0,340.0,76.0,70.0,1.579e+18,7.2e+17,-2.299e+18,-1.231e+18,2.721e+18,-3.16e+17,gcmt
B030485C,1985-03-04T13:49:34,-72.75,-34.05,13.5,5.7,mw,0.09,0.1,4.8,,26.0,24.0,128.0,165.0,71.0,74.0,2.775e+17,2.64e+16,-3.04e+17,1.3560000000000002e+17,-3.308e+17,-3.95e+16,gcmt
B030485D,1985-03-04T15:01:14,-71.81,-33.87,53.1,6.3,mw,0.03,0.02,1.4,,21.0,28.0,109.0,179.0,63.0,80.0,2.537e+18,4.36e+17,-2.973e+18,1.97e+17,-2.02e+18,-5.4700000000000006e+17,gcmt
B030485E,1985-03-04T19:03:15,-72.06,-32.98,36.0,6.1,mw,0.03,0.03,1.8,,16.0,29.0,111.0,172.0,63.0,79.0,1.354e+18,3.95e+17,-1.749e+18,2.38e+17,-1.0820000000000001e+18,-8.6e+16,gcmt
B030585A,1985-03-05T09:09:01,-71.42,-34.18,33.0,5.4,mw,0.16,0.09,0.0,,36.0,14.0,126.0,180.0,79.0,82.0,6.16e+16,-2700000000000000.0,-5.89e+16,5400000000000000.0,-1.46e+17,-2.2e+16,gcmt
B030785A,1985-03-07T00:55:00,-72.31,-33.34,18.2,5.4,mw,0.07,0.06,3.0,,7.0,30.0,107.0,168.0,62.0,81.0,1.529e+17,600000000000000.0,-1.535e+17,3.57e+16,-9.51e+16,6800000000000000.0,gcmt
B031285A,1985-03-12T08:23:19,-72.59,-33.23,10.0,5.8,mw,0.06,0.04,0.0,,35.0,17.0,123.0,180.0,76.0,81.0,2.572e+17,3.71e+16,-2.943e+17,9600000000000000.0,-5.297e+17,-9.99e+16,gcmt
C031785A,1985-03-17T10:41:45,-71.73,-33.22,43.5,6.5,mw,0.02,0.01,0.8,,356.0,26.0,91.0,175.0,64.0,90.0,6.243e+18,-1.93e+17,-6.05e+18,4.93e+17,-4.835e+18,5.09e+17,gcmt
C031985A,1985-03-19T04:01:13,-71.94,-33.63,35.6,6.6,mw,0.01,0.01,0.8,,355.0,24.0,90.0,175.0,66.0,90.0,8.667e+18,-2.99e+17,-8.368e+18,7.19e+17,-7.813e+18,7.49e+17,gcmt
B032385A,1985-03-23T13:45:25,-72.82,-34.49,17.7,5.7,mw,0.06,0.07,2.4,,26.0,21.0,106.0,189.0,70.0,84.0,2.339e+17,1.17e+16,-2.456e+17,-3.66e+16,-2.87e+17,-8.4e+16,gcmt
B032385B,1985-03-23T14:36:59,-72.54,-33.44,10.0,5.5,mw,0.07,0.07,0.0,,16.0,46.0,118.0,159.0,51.0,65.0,2.2480000000000003e+17,3.62e+16,-2.61e+17,7.67e+16,-1.97e+16,1.32e+16,gcmt
B032485A,1985-03-24T16:16:37,-72.53,-34.44,25.4,5.7,mw,0.04,0.04,2.3,,20.0,19.0,114.0,175.0,73.0,82.0,2.235e+17,4.23e+16,-2.658e+17,4.16e+16,-3.454e+17,-3.13e+16,gcmt
C032585A,1985-03-25T05:14:39,-72.52,-34.6,23.9,6.3,mw,0.02,0.02,1.0,,10.0,20.0,98.0,181.0,70.0,87.0,2.595e+18,-7.9e+16,-2.516e+18,8999999999999999.0,-3.096e+18,-2.45e+17,gcmt
B033085A,1985-03-30T13:47:29,-76.85,-45.34,10.0,5.4,mw,0.11,0.09,0.0,,325.0,26.0,-81.0,135.0,64.0,-94.0,-9.68e+16,3.4200000000000004e+16,6.26e+16,-7.15e+16,7.3e+16,-1.1060000000000002e+17,gcmt
B040285B,1985-04-02T02:35:36,-69.72,-28.48,83.2,5.1,mw,0.21,0.18,9.7,,133.0,58.0,-143.0,21.0,59.0,-38.0,-3.339e+16,-2.702e+16,6.041e+16,-8080000000000001.0,-3320000000000000.0,-2.1e+16,gcmt
B040385B,1985-04-03T13:06:26,-71.5,-32.62,35.5,6.1,mw,0.03,0.02,1.4,,18.0,21.0,87.0,201.0,69.0,91.0,1.0980000000000001e+18,-4e+16,-1.057e+18,-4.66e+17,-1.211e+18,-4.11e+17,gcmt
C040985A,1985-04-09T01:57:07,-71.86,-34.26,46.6,7.1,mw,0.02,0.01,0.8,,0.0,21.0,99.0,170.0,69.0,86.0,3.318e+19,-1e+16,-3.316e+19,7.62e+18,-3.604e+19,3.12e+18,gcmt
